Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,"Hi, Mom","$822,054,381",-,-,"$822,054,381",100%
2,Detective Chinatown 3,"$686,257,563",-,-,"$686,257,563",100%
3,Godzilla vs. Kong,"$438,076,774","$99,176,774",22.6%,"$338,900,000",77.4%
4,F9: The Fast Saga,"$256,371,000",-,-,"$256,371,000",100%
5,Impasse,"$180,066,560","$152,972",<0.1%,"$179,913,588",99.9%
6,A Writer's Odyssey,"$149,654,042","$133,527",<0.1%,"$149,520,515",99.9%
7,A Quiet Place Part II,"$143,129,263","$93,129,263",65.1%,"$50,000,000",34.9%
8,Raya and the Last Dragon,"$132,161,154","$53,720,653",40.6%,"$78,440,501",59.4%
9,Sister,"$128,292,175",-,-,"$128,292,175",100%
10,Tom and Jerry,"$118,100,271","$46,000,271",39%,"$72,100,000",61%
11,My Love,"$113,246,380","$86,252",<0.1%,"$113,160,128",99.9%
12,Endgame,"$91,815,762","$23,149",<0.1%,"$91,792,613",100%
13,Cruella,"$89,892,429","$46,492,429",51.7%,"$43,400,000",48.3%
14,Detective Conan: The Scarlet Bullet,"$88,793,240",-,-,"$88,793,240",100%
15,Wrath of Man,"$82,740,910","$25,040,910",30.3%,"$57,700,000",69.7%
16,Mortal Kombat,"$81,734,101","$42,034,101",51.4%,"$39,700,000",48.6%
17,Evangelion: 3.0+1.0 Thrice Upon a Time,"$78,334,943",-,-,"$78,334,943",100%
18,Boonie Bears: The Wild Life,"$77,745,583",-,-,"$77,745,583",100%
19,The Conjuring: The Devil Made Me Do It,"$57,904,332","$24,104,332",41.6%,"$33,800,000",58.4%
20,Avatar 2021 Re-release,"$57,566,409",-,-,"$57,566,409",100%
21,Nezha Reborn,"$56,088,478",-,-,"$56,088,478",100%
22,Break Through the Darkness,"$52,700,000",-,-,"$52,700,000",100%
23,Nobody,"$48,030,820","$26,095,820",54.3%,"$21,935,000",45.7%
24,Peter Rabbit 2: The Runaway,"$45,800,000",-,-,"$45,800,000",100%
25,Love Will Tear Us Apart,"$44,938,985",-,-,"$44,938,985",100%
26,The Yinyang Master,"$37,690,000",-,-,"$37,690,000",100%
27,I Fell in Love Like A Flower Bouquet,"$34,422,973",-,-,"$34,422,973",100%
28,Big Red Envelope,"$32,800,000",-,-,"$32,800,000",100%
29,Once Upon a Time in Hong Kong,"$32,218,874",-,-,"$32,218,874",100%
30,Home Sweet Home,"$32,178,677",-,-,"$32,178,677",100%
31,The Unholy,"$30,810,002","$15,510,002",50.3%,"$15,300,000",49.7%
32,Spiral,"$30,647,317","$21,923,977",71.5%,"$8,723,340",28.5%
33,The Little Things,"$29,844,012","$15,244,012",51.1%,"$14,600,000",48.9%
34,Rurouni Kenshin: Final Chapter Part I - The Final,"$28,898,098",-,-,"$28,898,098",100%
35,Master,"$28,692,230",-,-,"$28,692,230",100%
36,The Last Warrior: Root of Evil,"$28,356,301",-,-,"$28,356,301",100%
37,The Marksman,"$22,620,907","$15,566,093",68.8%,"$7,054,814",31.2%
38,Chaos Walking,"$21,887,908","$13,287,908",60.7%,"$8,600,000",39.3%
39,Wish Dragon,"$21,120,000",-,-,"$21,120,000",100%
40,Nomadland,"$18,815,457","$2,143,000",11.4%,"$16,672,457",88.6%
41,Bo Gia,"$17,480,489","$350,000",2%,"$17,130,489",98%
42,The Dry,"$17,411,835","$286,456",1.6%,"$17,125,379",98.4%
43,Those Who Wish Me Dead,"$17,011,617","$7,211,617",42.4%,"$9,800,000",57.6%
44,Gintama: The Final,"$16,971,401",-,-,"$16,971,401",100%
45,Konyok-gorbunok,"$15,990,882",-,-,"$15,990,882",100%
46,The Courier,"$15,775,585","$6,600,426",41.8%,"$9,175,159",58.2%
47,Minari,"$14,652,225","$3,110,580",21.2%,"$11,541,645",78.8%
48,Man in Love,"$13,300,000",-,-,"$13,300,000",100%
49,Vakeel Saab,"$13,056,490",-,-,"$13,056,490",100%
50,Monkey King Reborn,"$13,000,000",-,-,"$13,000,000",100%
51,Krack,"$10,442,916",-,-,"$10,442,916",100%
52,"Caution, Hazardous Wife: The Movie","$10,356,359",-,-,"$10,356,359",100%
53,Meitantei Conan: Hiiro no fuzai shômei,"$10,308,627",-,-,"$10,308,627",100%
54,Ji hun,"$9,600,000",-,-,"$9,600,000",100%
55,The Eleventh Chapter,"$8,845,525",-,-,"$8,845,525",100%
56,The Lord of the Rings: The Fellowship of the Ring 2021 Re-release,"$8,377,569",-,-,"$8,377,569",100%
57,Spirit Untamed,"$8,360,045","$7,330,045",87.7%,"$1,030,000",12.3%
58,Love Letter 2021 Re-release,"$7,400,000",-,-,"$7,400,000",100%
59,Signal: The Movie,"$7,344,186",-,-,"$7,344,186",100%
60,Dad,"$7,189,680",-,-,"$7,189,680",100%
61,Couple from the Future,"$7,160,729",-,-,"$7,160,729",100%
62,Lat Mat 5: 48H,"$6,781,370",-,-,"$6,781,370",100%
63,Judas and the Black Messiah,"$6,599,046","$5,446,607",82.5%,"$1,152,439",17.5%
64,Penguin Bloom,"$6,209,290",-,-,"$6,209,290",100%
65,August Never Ends,"$6,200,000",-,-,"$6,200,000",100%
66,Brave: Gunjyo Senki,"$5,677,186",-,-,"$5,677,186",100%
67,Suicide Forest Village,"$5,649,792",-,-,"$5,649,792",100%
68,Octonauts: The Ring of Fire,"$5,512,875",-,-,"$5,512,875",100%
69,Chernobyl: Abyss,"$5,343,758",-,-,"$5,343,758",100%
70,Kiba: The Fangs of Fiction,"$5,283,305",-,-,"$5,283,305",100%
71,Poly,"$5,228,910",-,-,"$5,228,910",100%
72,Red,"$4,920,261",-,-,"$4,920,261",100%
73,Palma,"$4,741,117",-,-,"$4,741,117",100%
74,Under the Open Sky,"$4,702,781",-,-,"$4,702,781",100%
75,Rurôni Kenshin: Sai shûshô - The Beginning,"$4,600,000",-,-,"$4,600,000",100%
76,Separation,"$4,509,143","$4,509,143",100%,-,-
77,Major Grom: Plague Doctor,"$4,493,306",-,-,"$4,493,306",100%
78,Prababushka lyogkogo povedeniya,"$4,381,948",-,-,"$4,381,948",100%
79,Beautiful Lure: A Modern Tale of Painted Skin,"$4,333,967",-,-,"$4,333,967",100%
80,77 Heartwarmings,"$4,315,536",-,-,"$4,315,536",100%
81,V2. Escape from Hell,"$4,310,307",-,-,"$4,310,307",100%
82,The Relatives,"$4,300,000",-,-,"$4,300,000",100%
83,Girls und Panzer das Finale: Part III,"$4,216,657",-,-,"$4,216,657",100%
84,Voyagers,"$4,203,035","$3,149,935",74.9%,"$1,053,100",25.1%
85,Boogie,"$4,191,023","$4,178,620",99.7%,"$12,403",0.3%
86,Seobok,"$4,119,613",-,-,"$4,119,613",100%
87,The Lord of the Rings: The Two Towers 2021 Re-release,"$4,084,695",-,-,"$4,084,695",100%
88,The Mauritanian,"$4,024,131","$836,536",20.8%,"$3,187,595",79.2%
89,Karnan,"$3,817,585",-,-,"$3,817,585",100%
90,Wrong Turn,"$3,777,969","$1,251,184",33.1%,"$2,526,785",66.9%
91,June Again,"$3,763,776",-,-,"$3,763,776",100%
92,The Lord of the Rings: The Return of the King 2021 Re-release,"$3,573,925",-,-,"$3,573,925",100%
93,Mission Possible,"$3,563,279",-,-,"$3,563,279",100%
94,Tomorrow Will Be Fine,"$3,520,000",-,-,"$3,520,000",100%
95,Son of Morning 2021 Re-release,"$3,491,793",-,-,"$3,491,793",100%
96,The Sun Does Not Move,"$3,483,187",-,-,"$3,483,187",100%
97,Endless Rain,"$3,211,137","$7,334",0.2%,"$3,203,803",99.8%
98,Hell's Garden,"$3,183,540",-,-,"$3,183,540",100%
99,Finding You,"$3,177,388","$2,665,462",83.9%,"$511,926",16.1%
100,Después de Ti,"$3,162,778",-,-,"$3,162,778",100%
101,The Girl Who Believes in Miracles,"$3,153,470","$3,153,470",100%,-,-
102,Land,"$2,921,395","$2,577,830",88.2%,"$343,565",11.8%
103,Here Today,"$2,748,629","$2,748,629",100%,-,-
104,Recalled,"$2,696,945",-,-,"$2,696,945",100%
105,The Book of Fish,"$2,682,886",-,-,"$2,682,886",100%
106,High Ground,"$2,420,957",-,-,"$2,420,957",100%
107,Dream Horse,"$2,389,486","$2,389,486",100%,-,-
108,Roohi,"$2,306,525",-,-,"$2,306,525",100%
109,Mumbai Saga,"$2,243,073",-,-,"$2,243,073",100%
110,Yakuza and the Family,"$2,168,905",-,-,"$2,168,905",100%
111,30 Rojullo Preminchadam Ela?,"$2,088,571",-,-,"$2,088,571",100%
112,The Night Beyond the Tricornered Window,"$2,081,564",-,-,"$2,081,564",100%
113,One Second Champion,"$2,081,126",-,-,"$2,081,126",100%
114,Long Story Short,"$2,034,613",-,-,"$2,034,613",100%
115,Extinct,"$1,967,644",-,-,"$1,967,644",100%
116,Alludu Adhurs,"$1,915,032",-,-,"$1,915,032",100%
117,Ensemble Stars!! Es Music Garden Delay Viewing,"$1,905,644",-,-,"$1,905,644",100%
118,Radhe,"$1,863,573",-,-,"$1,863,573",100%
119,Fly Me Away,"$1,746,787",-,-,"$1,746,787",100%
120,Profile,"$1,744,740","$1,744,740",100%,-,-
121,Son of Morning,"$1,649,063",-,-,"$1,649,063",100%
122,The Con-Heartist,"$1,629,745",-,-,"$1,629,745",100%
123,Josep,"$1,592,590",-,-,"$1,592,590",100%
124,Boss Level,"$1,591,467",-,-,"$1,591,467",100%
125,Calamity Jane,"$1,563,379",-,-,"$1,563,379",100%
126,Juega Conmigo,"$1,548,495",-,-,"$1,548,495",100%
127,French Exit,"$1,548,066","$728,229",47%,"$819,837",53%
128,Tempting Hearts,"$1,530,000",-,-,"$1,530,000",100%
